Name,Category,Brand,ImageURL,PLU,Barcode,Package,Price
ACEITE IDEAL 12/1000 ML,Condimentos,Ideal,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/146_3000,146,840107900045,Caja x12,39.99
ACEITE IDEAL 24/445 ML,Condimentos,Ideal,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/145_2999,145,840107900106,Caja x24,43.50
ADRENALINE ENERGIZANTE GRANDE 12/16OZ,Bebidas,Adrenaline,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/56_1480,56,7421600303828,Caja x12,30.25
ADRENALINE ENERGIZANTE PEQUENA 24 /10.5 OZ,Bebidas,Adrenaline,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/57_1481,57,7421600303835,Caja x24,49.79
Aguacate FL / Caribbean 24CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/525_FLORIDA.png,525,4771,Caja x24,43.88
AMP GOLD 12/20 OZ,Bebidas,AMP,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/134_1255,134,7401005906862,Caja x12,20.89
ARROZ BLANCO MACARENA 6/ 4LB,Granos,Macarena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/302_3364.jpg,302,7401002902706,Caja x6,25.99
ARROZ GALLO DORADO 25/1 LB,Granos,Gallo Dorado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/309_3360.jpg,309,7401002902676,Caja x25,26.91
ARROZ GALLO DORADO 5/5 LB,Granos,Gallo Dorado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/310_3361.jpg,310,7401002911050,Caja x5,28.41
ARROZ GALLO DORADO 8PACK/1 KILO,Granos,Gallo Dorado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/308_3359.jpg,308,7401002911128,Caja x8,21.07
ARROZ MACARENA 6/ 4LB,Granos,Macarena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/301_3363.jpg,301,7401002902690,Caja x6,25.99
