Name,Category,Brand,ImageURL,Code,Barcode
ACEITE IDEAL 12/1000 ML,Condimentos,Ideal,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/146_3000,146,840107900045
ACEITE IDEAL 24/445 ML,Condimentos,Ideal,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/145_2999,145,840107900106
ADRENALINE ENERGIZANTE GRANDE 12/16OZ,Bebidas,Adrenaline,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/56_1480,56,7421600303828
ADRENALINE ENERGIZANTE PEQUENA 24 /10.5 OZ,Bebidas,Adrenaline,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/57_1481,57,7421600303835
Aguacate FL / Caribbean 24CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/525_FLORIDA.png,525,4771
AMP GOLD 12/20 OZ,Bebidas,AMP,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/134_1255,134,7401005906862
ARROZ BLANCO MACARENA 6/ 4LB,Granos,Macarena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/302_3364.jpg,302,7401002902706
ARROZ GALLO DORADO 25/1 LB,Granos,Gallo Dorado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/309_3360.jpg,309,7401002902676
ARROZ GALLO DORADO 5/5 LB,Granos,Gallo Dorado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/310_3361.jpg,310,7401002911050
ARROZ GALLO DORADO 8PACK/1 KILO,Granos,Gallo Dorado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/308_3359.jpg,308,7401002911128
ARROZ MACARENA 6/ 4LB,Granos,Macarena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/301_3363.jpg,301,7401002902690
B&B CONCENTRADO DE HORCHATA 12/22.9 OZ,Bebidas,Concentrado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/282_1667.jpg,282,738777050187
B&B CONCENTRADO JAMAICA 12/ 22.9 OZ,Bebidas,Concentrado,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/281_1665.jpg,281,738777050194
Baby Green Mango / Criollo 20LB,Frutas y Vegetales Frescos,,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/471_be13627e-ae48-439e-8582-746436c4a5ac.JPG,471,CTD-1133
Babys Banana 23LB,Frutas y Vegetales Frescos,,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/447_baby.jpeg,447,CTD-1108
Bay Leaves / Hoja de Laurel 12CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/488_CTD-1152-Bay%20Leaves%20%20Hoja%20de%20Laurel%2012CT.jpg,488,3062
BEBIDA ENERGIZANTE RAPTOR BOTTLE PET24/ 20 OZ,Bebidas,Raptor,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/58_1489,58,081537204536
Berro / Watercrest 24CT,Frutas y Vegetales Frescos,,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/526_2c81c89e-fd76-4402-829e-8eb0919bd8de.JPG,526,CTD-1190
Betabel Jumbo bunch 12CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/527_beta.webp,527,4539
BOING GUAYABA BOTELLIN VIDRIO 354 ML 24/12 OZ 01/25,Bebidas,BOING,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/315_CTD-1023.jpeg,315,CTD-1023
